item,description,primary_machine,scorable_units_2026,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,FY2026_eff_pct
45010,ORG Reishi Eleuthero 10 Ct Tea Bag/6 Count Case - G,Maisa 2+3,920,,88.6,,93.5,,,,92.2
42080,ORG Irish Cream 10ct/6pk Tea Bag - G,Maisa 2+3,903,,116.6,,90.8,84.7,,,92.2
TGB010,ORG Vanilla Nut Tea Bag Goody Bag - GA,Assembly,900,43.1,,11.2,37.0,,,23.0,24.3
TGB322,Dandelion Caramel Nut Tea Bag Goody Bag - A,Assembly,900,,28.7,11.5,31.4,14.1,,,17.6
80073,ORG Java 11OZ Bag 3PK - GA,WeighRight,880,179.4,19.7,,161.1,,,,38.0
45011,ORG Reishi Eleuthero 25 Ct Tea Bag - G,Maisa 2+3,864,,82.4,,138.6,,,,103.4
80080L,Org Mocha 11OZ Bag/Box of 24 - GA,WeighRight,864,203.6,,,,,,126.5,141.3
83220A,AMZN Dandelion Caramel Nut 10 Oz Bag/Box of 24 - A,WeighRight,864,,215.1,,219.8,,,,217.4
31009L,ORG Instant Vanilla Nut Latte 224g Bag,AMS,840,,,54.4,,,,,54.4
80089L,ORG Raspberry Mocha 11OZ Bag/Box of 24 - GA,WeighRight,840,,,,128.2,,,,128.2
40086,Mocha Tagless Tea Bag - 50 Ct - GA,AMS,811,,190.5,117.5,,,,,131.7
43110A,AMZN Org Dandelion Dark Roast 10 Ct Tea Bag Loose,Maisa 2+3,792,,,,169.6,,,35.3,62.2
TGB060,ORG Hazelnut Tea Bag Goody Bag - GA,Assembly,775,,,13.3,49.3,,,12.2,16.2
40110L,Org French Roast 10 Ct Tea Bag Loose - G,AMS,768,,,,123.3,,,,123.3
10104,WWB - ORG Dark Roasted Carob Flour - 1 Lb Bag,AMS,764,,13.4,,,,,,13.4
50097,Teeccino 30g Packet 10 Flavor Sampler,Assembly,754,82.7,142.6,100.0,125.4,,,,113.3
83113,ORG Dandelion Dark Roast 10OZ Bag 3PK ,WeighRight,752,,126.8,,,,87.0,,96.7
TGB110,ORG French Roast Tea Bag Goody Bag - G,Assembly,750,,,,15.7,,,33.8,24.4
30007,Instant Miraculous Mushrooms A&P 100g Bag / 6 Count Case,AMS,746,156.1,72.2,45.5,,,103.0,,82.5
45050F,Turkey Tail Astragalus Dual Language 10 cnt TB - G,Maisa 2+3,730,75.1,,111.2,,,,,94.4
43110L,Org Dandelion Dark Roast 10 Ct Tea Bag Loose,Maisa 2+3,720,,183.2,,,,,,183.2
31011L,ORG Instant Mocha Latte 224g Bag,AMS,705,,72.0,,,,,,72.0
10016,Organic Turmeric Powder - 1 Lb Bag,AMS,703,89.4,40.1,,,,,,48.6
