item,description,primary_machine,scorable_units,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,eff_pct
80030A,AMZN Org Almond Amaretto 11OZ Bag/Box of 24 - GA,WeighRight,7368,,,,98.9,176.3,53.7,,215.1,157.0,81.8,,,124.3,,120.6,,,,824.4,116.1
40132,ORG Maca Chocolate 25CT Tea Bag - G,Maisa 2+3,7271,206.0,140.1,50.3,92.3,,54.4,83.1,,,67.7,114.6,161.8,95.1,140.2,,261.9,91.2,,,96.9
50130,ORG MACA Chocolate 30g Trial Size Packet - G,WeighRight,7200,,,,,,99.6,,,174.2,,164.9,,173.0,,,176.7,,,103.5,134.3
40110,ORG French Roast 10 Count Tea Bag - G,Maisa 1,6912,107.0,110.5,,101.7,154.5,,121.3,,83.4,,66.8,162.6,,,99.6,,75.7,,86.1,100.8
10027,Organic Licorice C/S - 8 Oz Bag,WeighRight,6879,,,,,,,,227.1,,136.1,199.1,187.4,128.0,157.4,,69.2,,,,143.7
82060L,ORG Maple Pecan 11OZ Bag/Box of 24 - GA,WeighRight,6873,60.5,,151.1,146.6,,,117.3,197.9,179.3,133.2,50.9,,,245.2,,,93.2,,99.9,98.7
43310,ORG Dandelion Mocha Mint 10CT Tea Bag - A,Maisa 1,6831,110.9,82.5,,92.0,91.5,82.7,,,,87.1,,85.7,82.1,134.8,106.5,,,70.8,,91.3
55070,ORG Miraculous Mushrooms A+P 30g Trial Size Packet,WeighRight,6708,,,,110.8,,,,,,,,,,,148.4,,,107.5,,120.1
TB336,ORG Holiday Egg Nog Tea Bag,Maisa 1,6700,,,,,,,77.1,,,,,,,,,,,,,77.1
12251L,Holiday Tea Bag Sampler Box ,Assembly,6604,,,,125.1,,216.1,162.1,156.3,140.2,,273.3,,,,,,,310.2,247.2,168.2
55010,Reishi Eleuthero 30g Trial Size Packet - G,WeighRight,6465,,,,81.4,226.9,194.2,161.6,,,,,164.9,,,,151.1,,,,153.3
83220L,Dandelion Caramel Nut 10 Oz Bag/Box of 24 - A,WeighRight,6416,79.9,,,111.1,99.3,,,,,,98.9,114.8,143.6,113.6,,190.2,,169.7,206.1,112.0
43340,ORG Dandelion Coconut 10CT Tea Bag - A,Maisa 1,6385,102.9,114.3,,,107.0,90.3,,,170.4,81.7,,95.7,86.3,,99.4,116.9,,115.3,,104.4
10008,"Org Rooibos, 8 Oz Bag",WeighRight,6291,,,,,,,,,,,,18.4,208.7,172.7,80.6,,52.1,,91.7,50.8
TB206,ORG Maple Pecan Tea Bag - GA,Maisa 1,6230,,150.8,,,85.6,,,,,,,,,,,,,,,102.3
40116,French Roast Tagless Tea Bag - 50 Ct - G,Assembly,6099,60.7,173.3,,83.0,,351.6,,,90.9,,136.3,105.0,125.4,,,,,79.6,,101.3
80130L,Org Maca Chocoate 11oz Bag/Box of 24 - G,WeighRight,6045,114.3,189.9,,108.2,,111.7,,,219.8,,,117.5,151.8,130.9,,,,,197.9,133.0
10201,WWB - ORG Peppermint Leaf - 4 Oz Bag,AMS,6045,,,,,,,,,,,,,51.4,50.6,62.1,53.5,60.8,,,54.9
80010,ORG Vanilla Nut 11oz Bag/6 Count Case - GA,WeighRight,5953,89.0,90.3,,77.1,98.9,,,123.9,128.6,,,,,127.9,109.5,119.5,107.2,,101.3,108.3
80113,ORG French Roast 11OZ Bag 3PK - G,WeighRight,5936,88.4,,116.3,,131.2,,,149.8,215.2,,,169.0,107.7,158.9,111.3,151.5,109.1,377.7,78.0,130.0
TGB601,ORG Dark Chocolate Tea Bag Goody Bag,Assembly,5700,31.9,63.9,,19.7,,17.9,,,11.0,,119.0,,,,11.5,12.5,29.5,,34.5,21.6
