date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2025-01-22,2025-01,Maisa 2+3,,45051,ORG Turkey Tail Astragalus 25 Ct Tea Bag - G,Tea,governed,high,yes,5.0,1440,4.3,21.5,334.9,5.581,67.0,
2025-01-22,2025-01,Maisa 2+3,,CLEANA,Clean + Allergen Tests,Tea,inferred,,,5.0,0,0.27,1.35,,,,
2025-01-22,2025-01,Maisa 2+3,,TB010,ORG Vanilla Nut Tea Bag Loose - GA,Tea,inferred,,yes,2.0,6500,1.23,2.46,5284.6,88.076,2642.3,
2025-01-22,2025-01,Maisa 2+3,,TB311,ORG Dandelion Dark Roast Tea Bag,Tea,inferred,,yes,3.0,5965,1.0,3.0,5965.0,99.417,1988.3,
2025-01-22,2025-01,WeighRight,,10005A,WWB AMZN Organic Chia (1lb),Bag/Other,inferred,,yes,3.0,1044,7.12,21.36,146.6,2.444,48.9,
2025-01-22,2025-01,WeighRight,,53010,Dandelion Vanilla Nut 30g Trial Size Packet - A,Bag/Other,inferred,,yes,3.0,900,1.56,4.68,576.9,9.615,192.3,
2025-01-22,2025-01,WeighRight,,CleanA,Clean + Almond Test,Bag/Other,inferred,,,3.0,0,0.43,1.29,,,,
2025-01-23,2025-01,Assembly,,40116,French Roast Tagless Tea Bag - 50 Ct - G,Tea,governed,high,yes,1.0,121,4.45,4.45,27.2,0.453,27.2,
2025-01-23,2025-01,Assembly,,40121,DO NOT MAKE ORG Maya Chai 25CT Tea Bag - G,Tea,governed,high,yes,1.0,48,2.26,2.26,21.2,0.354,21.2,
2025-01-23,2025-01,Assembly,,48005,DO NOT MAKE WWB ORG Sweet Cinnamon Spice 25ct Tea Bag 3.5g,Tea,inferred,,yes,1.0,120,3.18,3.18,37.7,0.629,37.7,
2025-01-23,2025-01,Maisa 1,,45030,ORG Lion's Mane Rhodiola 10 Ct Tea Bag/6 Count Case - G,Tea,inferred,,yes,3.0,420,7.02,21.06,59.8,0.997,19.9,
2025-01-23,2025-01,Maisa 1,,45030F,Lion's Mane Rhodiola Dual Language 10 cnt TB - G,Tea,inferred,,yes,3.0,183,2.48,7.44,73.8,1.23,24.6,
2025-01-23,2025-01,Maisa 2+3,,40031,ORG Almond Amaretto 25CT Tea Bag - GA,Tea,governed,high,yes,5.0,2223,7.05,35.25,315.3,5.255,63.1,
2025-01-23,2025-01,Maisa 2+3,,45050,ORG Turkey Tail Astragalus 10 Ct Tea Bag/6 Count Case - G,Tea,inferred,,yes,5.0,107,0.5,2.5,214.0,3.567,42.8,
2025-01-23,2025-01,Maisa 2+3,,45050F,Turkey Tail Astragalus Dual Language 10 cnt TB - G,Tea,inferred,,yes,5.0,92,0.3,1.5,306.7,5.111,61.3,
2025-01-23,2025-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,5.0,0,0.4,2.0,,,,
2025-01-23,2025-01,Maisa 2+3,,TB030,ORG Almond Amaretto Tea Bag - GA,Tea,inferred,,yes,4.0,2847,0.2,0.8,14235.0,237.25,3558.8,
2025-01-23,2025-01,WeighRight,,10005A,WWB AMZN Organic Chia (1lb),Bag/Other,inferred,,yes,3.0,360,2.2,6.6,163.6,2.727,54.5,
2025-01-23,2025-01,WeighRight,,65010,ORG Reishi Eleuthero 5 Lb Bag - G,APG,governed,high,yes,2.0,8,0.1,0.2,80.0,1.333,40.0,
2025-01-23,2025-01,WeighRight,,85010,ORG Reishi Eleuthero 10 Oz Bag/6 Count Case - G,Bag/Other,inferred,,yes,2.0,120,2.5,5.0,48.0,0.8,24.0,
2025-01-23,2025-01,WeighRight,,85010L,ORG Reishi Eleuthero 10 Oz Bag/Box of 24 - G,APG,governed,high,yes,3.0,792,2.53,7.59,313.0,5.217,104.3,
2025-01-23,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.35,1.05,,,,
2025-01-23,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.3,0.9,,,,
2025-01-27,2025-01,Assembly,,40001A,AMZN Labeled Herbal Tea Sampler Box/Variety Pack,Bundle,inferred,,yes,1.0,144,8.54,8.54,16.9,0.281,16.9,
2025-01-27,2025-01,Assembly,,40001A,AMZN Labeled Herbal Tea Sampler Box/Variety Pack,Bundle,inferred,,yes,2.0,1080,10.1,20.2,106.9,1.782,53.5,
2025-01-27,2025-01,Assembly,,40116,French Roast Tagless Tea Bag - 50 Ct - G,Tea,governed,high,yes,1.0,159,13.25,13.25,12.0,0.2,12.0,
2025-01-27,2025-01,Assembly,,42040,ORG Snickerdoodle 10ct/6pk Tea Bag - GA,Tea,inferred,,,1.0,0,7.1,7.1,,,,
2025-01-27,2025-01,Assembly,,45011,ORG Reishi Eleuthero 25 Ct Tea Bag - G,Tea,governed,high,,1.0,0,0.55,0.55,,,,
2025-01-27,2025-01,Maisa 1,,42080,ORG Irish Cream 10ct/6pk Tea Bag - G,Tea,inferred,,yes,3.0,64,0.48,1.44,133.3,2.222,44.4,
2025-01-27,2025-01,Maisa 1,,42081,ORG Irish Cream 25Ct Tea Bag Box - G,Tea,inferred,,yes,3.0,312,1.32,3.96,236.4,3.939,78.8,
